logged_at,reason,name,title,url,query
2026-04-23T00:07:43.182791Z,missing_url,Edit links,Edit links,,"""Edit links"" ""China"" organization"
2026-04-23T00:07:43.724481Z,missing_url,Add links,Add links,,"""Add links"" ""China"" organization"
2026-04-23T00:07:44.268243Z,missing_url,China's NGO network,China's NGO network,,"""China's NGO network"" ""China"" organization"
2026-04-23T00:07:44.812521Z,missing_url,Chinese NGO Interactive Network,Chinese NGO Interactive Network,,"""Chinese NGO Interactive Network"" ""China"" organization"
2026-04-23T00:07:45.352233Z,missing_url,China CSR Map,China CSR Map,,"""China CSR Map"" ""China"" organization"
2026-04-23T00:07:45.893812Z,missing_url,China Development Brief,China Development Brief,,"""China Development Brief"" ""China"" organization"
2026-04-23T00:07:46.436315Z,non_org_title,Database of over 200 International NGOs operating in China,Database of over 200 International NGOs operating in China,,"""Database of over 200 International NGOs operating in China"" ""China"" organization"
2026-04-23T00:07:46.977246Z,non_org_title,Database of NGOs operating in China,Database of NGOs operating in China,,"""Database of NGOs operating in China"" ""China"" organization"
2026-04-23T00:07:47.515933Z,missing_url,Report on China's Tax Rules For Not-For-Profit Organizations,Report on China's Tax Rules For Not-For-Profit Organizations,,"""Report on China's Tax Rules For Not-For-Profit Organizations"" ""China"" organization"
2026-04-23T00:07:48.058827Z,non_org_title,The World Bank and NGOs in China,The World Bank and NGOs in China,,"""The World Bank and NGOs in China"" ""China"" organization"
2026-04-23T00:07:48.596195Z,missing_url,A Study of Chinese Philanthropy by Danqing Li,A Study of Chinese Philanthropy by Danqing Li,,"""A Study of Chinese Philanthropy by Danqing Li"" ""China"" organization"
2026-04-23T00:07:49.135142Z,missing_url,"Wikimedia Foundation, Inc","Wikimedia Foundation, Inc",,"""Wikimedia Foundation, Inc"" ""China"" organization"
