logged_at,reason,name,title,url,query
2026-04-23T09:36:12.780260Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-23T09:36:13.325344Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-23T09:36:13.881208Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""South Korea"" organization"
2026-04-23T09:36:14.433133Z,non_org_title,The Worldwide NGO Directory,The Worldwide NGO Directory,,"""The Worldwide NGO Directory"" ""South Korea"" organization"
2026-04-23T09:36:14.983235Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-23T09:36:15.530139Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-23T09:36:16.081030Z,missing_url,South Korea - Global Impact - Project World Impact,South Korea - Global Impact - Project World Impact,,"""South Korea - Global Impact - Project World Impact"" ""South Korea"" organization"
2026-04-23T09:36:16.630331Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-23T09:36:17.169267Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-23T09:36:17.737587Z,missing_url,Civil Society and NGOs Program - 서울대학교 아시아연구소,Civil Society and NGOs Program - 서울대학교 아시아연구소,,"""Civil Society and NGOs Program - 서울대학교 아시아연구소"" ""South Korea"" organization"
2026-04-23T09:36:18.287596Z,missing_url,NGOs and non,NGOs and non,,"""NGOs and non"" ""South Korea"" organization"
2026-04-23T09:36:18.836601Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-23T09:36:19.395926Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-23T09:36:19.941556Z,non_org_title,Best Advocacy & Civil Rights Charities in South Korea 2026,Best Advocacy & Civil Rights Charities in South Korea 2026,,"""Best Advocacy & Civil Rights Charities in South Korea 2026"" ""South Korea"" organization"
2026-04-23T09:36:20.494627Z,missing_url,Find the top,Find the top,,"""Find the top"" ""South Korea"" organization"
